CASE NO,alt_kft,Re_L,M_inf,alpha_deg,beta_deg,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
728,1.865,117000000.0,0.4782,18.86,0.0,186.6,179.0,216.1,1000.0,828.9,235.4,87.54,50.71,43.32,24.47
729,25.98,80460000.0,0.08539,9.69,0.0,186.6,179.0,216.1,1000.0,828.9,235.4,87.54,50.71,43.32,24.47
730,30.38,464900000.0,0.3816,11.31,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
731,36.08,252000000.0,0.07864,-0.7281,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
732,14.15,139600000.0,0.4762,4.077,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
733,35.34,371200000.0,0.3169,9.76,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
734,26.04,248300000.0,0.4314,12.84,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
735,8.098,99370000.0,0.3537,7.344,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
736,6.676,10730000.0,0.2683,15.73,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
737,20.81,442400000.0,0.1522,2.79,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
738,2.817,315500000.0,0.1061,18.14,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
739,18.77,198100000.0,0.1927,-3.649,0.0,137.9,50.34,270.8,1000.0,687.3,203.2,84.51,42.49,50.03,30.72
740,37.31,499300000.0,0.1398,15.61,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
741,35.99,179800000.0,0.4292,9.086,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
742,13.19,220600000.0,0.07265,10.44,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
743,22.28,372600000.0,0.2027,18.05,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
744,6.481,280400000.0,0.2544,15.13,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
745,9.287,128600000.0,0.3344,7.525,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
746,27.7,438100000.0,0.484,-2.758,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
747,17.38,308200000.0,0.2918,4.72,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
748,3.852,24710000.0,0.1685,1.255,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
749,30.26,92930000.0,0.3709,-0.3593,0.0,140.7,102.1,338.2,1000.0,830.8,226.8,68.82,48.67,52.71,28.69
750,24.91,124900000.0,0.4833,11.27,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
751,9.202,341900000.0,0.07921,5.169,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
752,19.03,151500000.0,0.4039,14.15,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
753,20.15,1535000.0,0.2385,18.55,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
754,7.2,484900000.0,0.1458,5.733,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
755,15.74,269800000.0,0.4404,-0.6195,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
756,31.67,410500000.0,0.3087,10.0,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
757,39.95,69020000.0,0.1339,-3.94,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
758,34.46,395900000.0,0.3449,16.9,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
759,0.4622,225900000.0,0.2023,1.418,0.0,168.9,188.6,681.8,1000.0,639.8,270.6,75.42,40.63,54.77,36.51
760,26.68,459900000.0,0.117,12.11,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
761,18.04,257700000.0,0.4632,16.71,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
762,20.07,72620000.0,0.3312,7.491,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
763,3.89,345400000.0,0.4058,19.66,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
764,37.09,429200000.0,0.2815,4.51,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
765,12.83,192400000.0,0.4169,2.753,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
766,34.45,373600000.0,0.1498,8.622,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
767,7.481,215000000.0,0.08001,-0.9681,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
768,28.66,40820000.0,0.2229,14.18,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
769,8.544,128900000.0,0.2683,-2.643,0.0,194.3,74.91,566.6,1000.0,727.5,243.4,70.62,58.33,59.72,32.81
770,12.77,255200000.0,0.1505,9.873,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
771,39.86,421600000.0,0.4794,7.343,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
772,35.78,365100000.0,0.06079,17.01,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
773,19.82,239700000.0,0.1039,0.271,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
774,8.771,313000000.0,0.1859,18.67,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
775,0.6662,466900000.0,0.243,-3.446,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
776,4.418,50080000.0,0.3741,11.03,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
777,22.07,141300000.0,0.4354,2.91,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
778,31.16,188100000.0,0.3593,5.106,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
779,26.38,74210000.0,0.303,13.71,0.0,193.1,166.3,597.8,1000.0,667.0,198.8,76.19,57.53,41.82,29.54
780,11.64,401200000.0,0.4441,7.886,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
781,22.85,46630000.0,0.4944,12.37,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
782,29.06,212600000.0,0.2303,19.79,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
783,39.02,100900000.0,0.1086,16.89,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
784,34.86,388300000.0,0.1677,14.74,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
785,26.99,157900000.0,0.2978,8.849,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
786,14.25,59250000.0,0.3677,-0.416,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
787,6.457,281500000.0,0.3528,5.109,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
788,2.365,476600000.0,0.05719,1.051,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
789,16.55,325800000.0,0.209,-2.592,0.0,198.3,158.7,517.2,1000.0,691.8,265.7,86.41,53.37,48.08,38.11
790,12.87,22280000.0,0.2083,0.3444,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
791,5.408,398100000.0,0.1744,3.991,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
792,36.32,269300000.0,0.06177,1.861,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
793,31.1,485300000.0,0.3756,9.317,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
794,26.23,436000000.0,0.1141,17.81,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
795,18.42,57570000.0,0.4457,-3.258,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
796,8.587,105300000.0,0.4836,11.07,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
797,33.29,222200000.0,0.2588,6.372,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
798,20.16,321100000.0,0.2853,16.03,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
799,3.238,164500000.0,0.3371,13.34,0.0,129.2,138.6,415.0,1000.0,805.7,264.6,72.14,44.84,52.39,33.68
800,35.95,158800000.0,0.2789,4.47,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
801,1.69,431100000.0,0.245,15.29,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
802,18.68,369600000.0,0.4705,-0.06995,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
803,9.511,73770000.0,0.4062,19.13,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
804,39.29,350100000.0,0.08542,14.38,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
805,5.664,266100000.0,0.33,9.172,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
806,27.15,37760000.0,0.4378,11.37,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
807,14.75,461000000.0,0.1221,-1.916,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
808,30.95,134600000.0,0.1677,7.405,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
809,21.93,250400000.0,0.2024,1.291,0.0,149.0,106.4,268.1,1000.0,653.9,186.1,72.86,48.39,40.88,31.06
810,3.935,312600000.0,0.3137,3.324,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
811,34.78,133200000.0,0.3298,0.3747,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
812,7.705,282500000.0,0.4844,18.57,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
813,39.54,12920000.0,0.1552,1.501,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
814,14.56,382900000.0,0.2204,11.62,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
815,21.87,160100000.0,0.07753,-3.818,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
816,25.57,237200000.0,0.4208,7.365,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
817,19.42,427800000.0,0.267,14.4,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
818,9.95,90710000.0,0.3762,8.37,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
819,28.09,480400000.0,0.1345,16.25,0.0,104.4,194.5,536.1,1000.0,678.1,206.3,61.3,42.12,40.57,34.35
820,34.9,87170000.0,0.2451,-0.09105,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
821,4.029,426600000.0,0.1596,15.93,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
822,30.71,15560000.0,0.1342,12.68,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
823,14.5,125000000.0,0.2114,14.26,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
824,2.782,338300000.0,0.08718,19.22,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
825,38.42,478100000.0,0.4723,7.094,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
826,24.3,355300000.0,0.38,9.315,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
827,11.5,217300000.0,0.3158,0.9764,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
828,20.64,189000000.0,0.4225,-2.552,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
829,18.5,284800000.0,0.3348,4.079,0.0,150.9,89.37,547.1,1000.0,802.4,261.6,67.57,42.87,50.82,30.34
830,37.95,55710000.0,0.3381,9.906,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
831,7.085,429100000.0,0.2547,-2.652,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
832,24.02,112200000.0,0.1364,11.79,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
833,14.9,216500000.0,0.379,13.97,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
834,1.86,358000000.0,0.2215,1.24,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
835,23.68,254500000.0,0.1463,0.1285,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
836,28.19,170800000.0,0.4147,3.555,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
837,8.237,498100000.0,0.3059,19.63,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
838,34.55,10120000.0,0.4922,17.38,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
839,18.03,321100000.0,0.07732,7.459,0.0,188.8,115.7,427.2,1000.0,605.1,268.6,71.9,56.4,56.46,35.79
840,37.18,402000000.0,0.2589,-3.564,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
841,8.361,118500000.0,0.4289,3.869,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
842,30.58,489200000.0,0.4688,19.2,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
843,14.81,268700000.0,0.409,0.4181,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
844,33.76,375900000.0,0.1485,8.128,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
845,21.49,345800000.0,0.1899,13.19,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
846,3.151,57730000.0,0.2868,16.82,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
847,25.29,227100000.0,0.3235,2.704,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
848,6.698,17180000.0,0.1227,11.96,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
849,16.46,152900000.0,0.08933,6.04,0.0,167.1,133.4,464.0,1000.0,563.6,181.3,79.7,51.49,57.91,33.83
850,8.797,323100000.0,0.07427,6.38,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
851,30.28,92780000.0,0.4378,11.44,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
852,24.65,46530000.0,0.1181,-0.4659,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
853,39.96,279500000.0,0.2986,4.441,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
854,32.9,373400000.0,0.3503,8.222,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
855,3.848,492800000.0,0.1476,1.641,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
856,13.36,152500000.0,0.4609,-2.118,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
857,5.617,425300000.0,0.1998,13.28,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
858,22.21,211300000.0,0.4066,19.35,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
859,19.43,139400000.0,0.2664,17.38,0.0,114.8,125.4,245.7,1000.0,599.8,199.8,72.49,45.53,45.86,30.19
860,17.79,335800000.0,0.05343,-1.261,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
861,29.63,168200000.0,0.4714,19.03,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
862,37.2,415900000.0,0.399,3.46,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
863,10.84,97700000.0,0.1439,16.23,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
864,32.73,11980000.0,0.4372,9.665,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
865,20.71,112900000.0,0.3451,11.13,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
866,7.786,287300000.0,0.1897,13.64,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
867,27.52,220400000.0,0.2617,1.259,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
868,14.5,386000000.0,0.2803,-3.748,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
869,0.7202,478500000.0,0.1159,5.832,0.0,173.6,112.9,420.2,1000.0,766.2,216.1,89.51,56.09,55.18,26.18
870,7.373,112200000.0,0.0962,-0.4013,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
871,19.86,229700000.0,0.2083,18.39,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
872,34.01,304500000.0,0.4267,7.94,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
873,3.044,254500000.0,0.3988,9.687,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
874,24.5,69900000.0,0.2867,4.8,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
875,38.97,484800000.0,0.3548,14.94,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
876,13.18,170800000.0,0.4861,10.86,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
877,8.476,5441000.0,0.256,-3.528,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
878,22.82,392900000.0,0.1787,16.9,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
879,28.3,401900000.0,0.05464,1.416,0.0,109.6,169.6,243.4,1000.0,629.3,277.7,69.92,43.4,44.77,38.5
880,12.41,280700000.0,0.1405,16.68,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
881,11.19,133700000.0,0.2541,-0.01998,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
882,19.22,310500000.0,0.2061,8.126,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
883,21.14,234500000.0,0.335,13.35,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
884,6.257,53480000.0,0.3691,11.07,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
885,29.87,385900000.0,0.1236,6.671,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
886,25.84,169900000.0,0.4563,-2.465,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
887,35.54,475600000.0,0.2902,1.842,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
888,2.429,14070000.0,0.09261,19.25,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
889,38.75,449700000.0,0.4302,4.558,0.0,175.2,91.87,354.3,1000.0,791.4,219.8,72.94,54.01,54.17,30.52
890,17.01,99070000.0,0.3264,10.5,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
891,37.85,401000000.0,0.1097,9.172,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
892,21.97,492700000.0,0.05036,7.117,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
893,27.14,140300000.0,0.2127,-2.935,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
894,8.645,326200000.0,0.1772,5.004,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
895,12.42,31410000.0,0.3858,2.62,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
896,6.325,191300000.0,0.2351,13.15,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
897,35.42,291400000.0,0.424,-0.4452,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
898,28.91,354600000.0,0.4935,19.97,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
899,3.752,245600000.0,0.2871,17.3,0.0,169.3,99.51,486.2,1000.0,761.3,275.8,79.24,50.09,58.66,37.92
900,36.07,49460000.0,0.3126,14.71,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
901,19.9,64750000.0,0.1954,16.17,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
902,30.91,359400000.0,0.3685,2.282,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
903,6.763,345300000.0,0.1701,-1.048,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
904,2.218,295900000.0,0.1173,18.02,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
905,22.56,131300000.0,0.05366,6.355,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
906,25.35,470300000.0,0.4246,11.82,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
907,35.65,151500000.0,0.484,5.101,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
908,8.679,418400000.0,0.2684,8.185,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
909,12.49,228700000.0,0.3578,-2.231,0.0,187.5,162.3,389.6,1000.0,631.6,263.5,77.02,53.51,43.7,31.47
910,4.158,131700000.0,0.1706,13.99,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
911,23.44,437600000.0,0.4381,2.022,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
912,34.22,75230000.0,0.1997,19.69,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
913,18.02,464400000.0,0.3659,17.53,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
914,10.25,324600000.0,0.3296,12.13,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
915,14.81,255200000.0,0.28,-3.551,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
916,28.56,250300000.0,0.07365,3.911,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
917,36.19,9321000.0,0.4806,7.456,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
918,26.05,197300000.0,0.2318,-1.273,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
919,1.046,388600000.0,0.1262,8.874,0.0,195.0,170.9,289.6,1000.0,742.5,251.9,70.82,54.77,46.14,28.08
920,25.01,5990000.0,0.05701,15.64,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
921,12.36,144900000.0,0.4524,19.31,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
922,0.6794,84460000.0,0.3171,12.7,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
923,28.3,227500000.0,0.3824,2.07,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
924,33.52,447400000.0,0.4553,6.556,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
925,18.65,463400000.0,0.1053,-2.347,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
926,37.25,376300000.0,0.1679,8.107,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
927,4.741,270700000.0,0.2373,3.404,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
928,22.08,320200000.0,0.3481,13.54,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
929,8.275,167100000.0,0.2153,-0.411,0.0,143.5,129.8,383.6,1000.0,553.0,200.5,71.7,49.16,46.46,34.73
930,5.4,22520000.0,0.1419,15.42,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
931,25.47,365100000.0,0.1347,13.92,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
932,39.82,320000000.0,0.3213,6.402,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
933,10.57,161200000.0,0.192,2.653,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
934,30.69,488500000.0,0.429,0.4308,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
935,35.31,214400000.0,0.4855,4.903,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
936,20.74,278300000.0,0.05998,8.39,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
937,13.64,66820000.0,0.2927,11.92,0.0,135.3,79.66,405.4,1000.0,777.2,191.4,81.71,49.71,48.2,27.8
